,Distance (scaled),Elevation (scaled),Wind (scaled),Is snowing,Result
3941,30,1050,0.0,0,1
3942,33,1050,0.0,0,1
3943,28,1050,0.0,0,1
3944,33,1050,0.0,0,1
3945,33,1050,0.0,0,1
3946,31,20,4.0,0,1
3947,33,20,4.0,0,0
3948,48,20,4.0,0,1
3949,33,20,4.0,0,1
3950,52,640,9.0,0,1
3951,33,640,9.0,0,1
3952,33,640,9.0,0,1
3953,33,640,9.0,0,0
3954,40,640,9.0,0,1
3955,33,640,9.0,0,1
3956,33,640,9.0,0,0
3957,33,640,9.0,0,1
3958,33,750,10.0,0,1
3959,33,750,10.0,0,1
3960,49,750,10.0,0,1
3961,33,750,10.0,0,1
3962,37,750,10.0,0,1
3963,33,750,10.0,0,1
3964,45,750,10.0,0,1
3965,45,750,10.0,0,1
3966,34,3,15.0,0,1
3967,37,3,15.0,0,1
3968,33,3,15.0,0,1
3969,33,3,15.0,0,1
3970,33,3,15.0,0,1
3971,34,3,15.0,0,1
3972,30,3,15.0,0,1
3973,33,62,0.0,0,1
3974,33,62,0.0,0,1
3975,45,62,0.0,0,1
3976,35,62,0.0,0,1
3977,33,62,0.0,0,1
3978,33,62,0.0,0,1
3979,43,62,0.0,0,1
3980,33,584,18.0,0,1
3981,33,584,18.0,0,1
3982,39,584,18.0,0,0
3983,33,584,18.0,0,1
3984,33,584,18.0,0,1
3985,33,584,18.0,0,1
3986,33,584,18.0,0,1
3987,33,584,18.0,0,0
3988,38,584,18.0,0,1
3989,33,584,18.0,0,1
3990,55,584,18.0,0,1
3991,34,482,5.0,0,1
3992,33,482,5.0,0,1
3993,33,482,5.0,0,1
3994,33,482,5.0,0,1
3995,20,482,5.0,0,1
3996,55,482,5.0,0,1
3997,33,482,5.0,0,1
3998,33,748,7.0,0,0
3999,33,748,7.0,0,1
4000,33,748,7.0,0,1
4001,33,748,7.0,0,0
4002,35,748,7.0,0,1
4003,33,748,7.0,0,1
4004,26,748,7.0,0,1
4005,33,748,7.0,0,1
4006,33,748,7.0,0,1
4007,33,646,0.0,0,1
4008,33,646,0.0,0,1
4009,33,646,0.0,0,1
4010,33,646,0.0,0,1
4011,33,646,0.0,0,1
4012,33,646,0.0,0,1
4013,33,646,0.0,0,1
4014,57,646,0.0,0,1
4015,32,646,0.0,0,1
4016,33,594,1.0,0,1
4017,33,594,1.0,0,1
4018,33,594,1.0,0,1
4019,33,594,1.0,0,1
4020,33,594,1.0,0,1
4021,39,594,1.0,0,1
4022,32,594,1.0,0,1
4023,25,2001,0.0,0,1
4024,33,2001,0.0,0,1
4025,33,2001,0.0,0,1
4026,33,2001,0.0,0,1
4027,33,2001,0.0,0,1
4028,20,2001,0.0,0,1
4029,25,2001,0.0,0,1
4030,33,2001,0.0,0,1
4031,23,2001,0.0,0,1
4032,33,2001,0.0,0,1
4033,35,2001,0.0,0,1
4034,33,2001,0.0,0,1
4035,33,2001,0.0,0,1
4036,45,7,8.0,0,0
4037,33,7,8.0,0,1
4038,31,7,8.0,0,1
4039,33,7,8.0,0,1
4040,33,7,8.0,0,1
4041,33,7,8.0,0,1
4042,33,7,8.0,0,1
4043,33,7,8.0,0,1
4044,33,7,8.0,0,1
4045,46,7,8.0,0,1
4046,44,7,8.0,0,1
4047,33,26,5.0,0,0
4048,35,26,5.0,0,0
4049,33,26,5.0,0,1
4050,54,26,5.0,0,0
4051,33,26,5.0,0,1
4052,19,26,5.0,0,1
4053,33,26,5.0,0,0
4054,46,26,5.0,0,0
4055,48,26,5.0,0,1
4056,33,62,0.0,0,1
4057,35,62,0.0,0,1
4058,33,62,0.0,0,1
4059,29,62,0.0,0,1
4060,33,62,0.0,0,1
4061,45,30,10.0,0,0
4062,33,30,10.0,0,1
4063,44,30,10.0,0,1
4064,33,30,10.0,0,1
4065,22,30,10.0,0,0
4066,33,30,10.0,0,1
4067,33,30,10.0,0,1
4068,33,30,10.0,0,1
4069,57,30,10.0,0,0
4070,33,30,10.0,0,1
4071,45,20,8.0,0,1
4072,33,20,8.0,0,1
4073,33,20,8.0,0,1
4074,41,20,8.0,0,1
4075,37,20,8.0,0,0
4076,41,20,8.0,0,0
4077,33,20,8.0,0,0
4078,43,20,8.0,0,0
4079,33,20,8.0,0,1
4080,33,20,8.0,0,1
4081,29,20,8.0,0,1
4082,33,597,11.0,1,1
4083,34,597,11.0,1,1
4084,33,597,11.0,1,0
4085,33,597,11.0,1,1
4086,33,597,11.0,1,1
4087,23,597,11.0,1,1
